Organism	SARS-CoV-2										
Outbreak											
pmid											
tree											
source	Migun Shakya										
dataType	CDC_VOI_VOC_Lineages										
											
biosample_acc	strain	genBankAssembly	nucleotide	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumnucleotide	sha256sumRead1	sha256sumRead2
	Wuhan-1		NC_045512.2				TRUE				
SAMEA8186045	hCoV-19_Wales_PHWC-4C8F5E_2021			ERR5405022			FALSE			a233055f6dd9dc3b335f7e59f9bc00c368460c6c6c8f0a6ecff5c66c013a3a9a	f89c4116f94f40afc2a4dc612c4c503ddf88518227332ad66f04e84383e3f0c6
SAMN17285126	hCoV-19_USA_CA-QDX-2761_2020			SRR13422802			FALSE			0fce291e3f9a4d119375503a16cdb0fb1309d6beae499d7004ef6a1f1668b59d	e8461c968df04520d044f7dd90d03e0cbe5a75a492a19a573337d036ee59242b
SAMN17487451	hCoV-19_USA_MA-QDX-3022_2021			SRR13500923			FALSE			9a91e80c2e4eb6c88438250987839b49079826806b2da4073923895dd1d894d5	140a0898a65c9d1bca2e0d871c730a2d34cc637b407fe85ff237b17710c8063c
SAMN17729758	hCoV-19_USA_TX-DSHS-2263_2021			SRR13603869			FALSE			45b7f2349e9c989d0a2fd2ec81e4d7f1821fc43b673bc3cdd90bc676bd1410f0	ac4cdc96a08ce58e07b54f000a1d015bbcf50288744c34cdc97ef886c0058963
SAMN17728015	hCoV-19_USA_CT-QDX-4006_2021			SRR13606446			FALSE			0e0318b02b0339f3723ca1b3a4f47dcb8fa8c0be2741986e2fe4b7427e346b10	200f382517a61112892661b3a536be823927134b5edae165596a5844832c21f8
SAMN17285146	hCoV-19_USA_CA-QDX-2781_2020			SRR13422799			FALSE			b03cd08542e3688085e704af2fc7717bc6769010be436af428287c0b7eddb953	42d2e13073f59b1dfdb9c727dc6da47379a243828c39e51be4a9d38164957fb9
SAMN17311232	hCoV-19_USA_UT-UPHL-2101165053_2020			SRR13433811			FALSE			e12a0e7fa6e2815b1772f2a296d0c29f22c9dae52fe7a748cec697a8e0284fbf	a71c3321ca999565e834ca08ce1b8fb53ef5121e1eb2d4121efa3d082d638574
SAMEA8427281	hCoV-19_England_CAMC-13E7537_2021			ERR5556343			FALSE			2e768cfa01f0fb10ec232365d2c511a1954b2d5ae90eb8638ab36da4df54c553	072970aa8592559422b9fb653cb367a2158e599ac3a9bbe6c985b2e00f1c3046
SAMN17505162	hCoV-19_USA_RI-QDX-3232_2021			SRR13511054			FALSE			a59ceb1a1f5205fbe667f5dd0cd8a468017bb194617f292162e6de233e28e29b	5fd8ac469f9c7195c151daeb386b2e54da87ccc05da38dfc499c1cb6123fd06b
